pelvis_x,pelvis_y,pelvis_z,torso_x,torso_y,torso_z,head_x,head_y,head_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,right_lower_arm_x,right_lower_arm_y,right_lower_arm_z,right_hand_x,right_hand_y,right_hand_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,left_lower_arm_x,left_lower_arm_y,left_lower_arm_z,left_hand_x,left_hand_y,left_hand_z,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_x,right_shin_y,right_shin_z,right_foot_x,right_foot_y,right_foot_z,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_x,left_shin_y,left_shin_z,left_foot_x,left_foot_y,left_foot_z
-0.5128162,0.050777026,0.8701749,-0.48227686,0.031389177,1.1035389,-0.4296704,0.021325434,1.3209321,-0.48664567,-0.15353413,1.346817,-0.6820755,-0.18852772,1.1568406,-0.51870656,-0.2674502,0.97208285,-0.40911275,0.2043778,1.3446237,-0.36106604,0.26810962,1.0816822,-0.20719019,0.13383663,1.2408881,-0.5116245,-0.033797182,0.8629925,-0.27194244,-0.021955568,0.5164188,-0.23906723,-0.048762985,0.10874984,-0.51400787,0.13535124,0.87735724,-0.79019153,0.12835835,0.5589633,-1.0587255,0.12155915,0.24938825
-0.5128162,0.050777026,0.8701749,-0.48227686,0.031389177,1.1035389,-0.4296704,0.021325434,1.3209321,-0.48664567,-0.15353413,1.346817,-0.6820755,-0.18852772,1.1568406,-0.51870656,-0.2674502,0.97208285,-0.40911275,0.2043778,1.3446237,-0.36106604,0.26810962,1.0816822,-0.20719019,0.13383663,1.2408881,-0.5116245,-0.033797182,0.8629925,-0.27194244,-0.021955568,0.5164188,-0.23906723,-0.048762985,0.10874984,-0.51400787,0.13535124,0.87735724,-0.79019153,0.12835835,0.5589633,-1.0587255,0.12155915,0.24938825
-0.39177203,0.049162727,0.8644572,-0.36201575,0.023730295,1.0973414,-0.30346864,0.00994019,1.3130046,-0.36028484,-0.16515899,1.3375868,-0.54090065,-0.2050665,1.1343781,-0.37443763,-0.28497368,0.9528334,-0.28166205,0.19251859,1.3391135,-0.25161847,0.26323068,1.0752846,-0.07856794,0.124767154,1.209206,-0.39018098,-0.035185564,0.8550425,-0.18090498,-0.02915885,0.48916233,-0.10352602,-0.04548872,0.08699411,-0.3933631,0.13351102,0.87387186,-0.6212744,0.11487791,0.51973873,-0.9705118,0.116008274,0.3052034
-0.39177203,0.049162727,0.8644572,-0.36201575,0.023730295,1.0973414,-0.30346864,0.00994019,1.3130046,-0.36028484,-0.16515899,1.3375868,-0.54090065,-0.2050665,1.1343781,-0.37443763,-0.28497368,0.9528334,-0.28166205,0.19251859,1.3391135,-0.25161847,0.26323068,1.0752846,-0.07856794,0.124767154,1.209206,-0.39018098,-0.035185564,0.8550425,-0.18090498,-0.02915885,0.48916233,-0.10352602,-0.04548872,0.08699411,-0.3933631,0.13351102,0.87387186,-0.6212744,0.11487791,0.51973873,-0.9705118,0.116008274,0.3052034
-0.27240428,0.047311373,0.85025585,-0.2434504,0.028187033,1.0838436,-0.19575122,0.013431906,1.3020995,-0.25266695,-0.16213843,1.3227813,-0.41096142,-0.21293183,1.1039861,-0.2379425,-0.28804842,0.92657274,-0.17639737,0.19597216,1.3303227,-0.16450523,0.27543947,1.0675453,0.030770123,0.13678761,1.1660173,-0.27367792,-0.03729573,0.8434867,-0.09387544,-0.025010107,0.46240783,-0.0358789,-0.020881664,0.056682795,-0.27113065,0.13191848,0.85702497,-0.45114487,0.11150046,0.47639516,-0.8442435,0.114657186,0.36039126
-0.27240428,0.047311373,0.85025585,-0.2434504,0.028187033,1.0838436,-0.19575122,0.013431906,1.3020995,-0.25266695,-0.16213843,1.3227813,-0.41096142,-0.21293183,1.1039861,-0.2379425,-0.28804842,0.92657274,-0.17639737,0.19597216,1.3303227,-0.16450523,0.27543947,1.0675453,0.030770123,0.13678761,1.1660173,-0.27367792,-0.03729573,0.8434867,-0.09387544,-0.025010107,0.46240783,-0.0358789,-0.020881664,0.056682795,-0.27113065,0.13191848,0.85702497,-0.45114487,0.11150046,0.47639516,-0.8442435,0.114657186,0.36039126
-0.1542613,0.046289723,0.8285926,-0.13676345,0.044039574,1.0640837,-0.09076008,0.027471855,1.2825733,-0.14568742,-0.14899656,1.300848,-0.27385944,-0.21432096,1.0667261,-0.078881204,-0.2786749,0.9089426,-0.073895544,0.20991382,1.3129478,-0.0841384,0.29744053,1.0526736,0.13132113,0.16530174,1.1089771,-0.15909378,-0.038458418,0.82814187,-0.0012908727,-0.020968199,0.4376378,-0.006598155,0.0008377023,0.02838263,-0.14942883,0.13103786,0.8290433,-0.28325027,0.12635617,0.4293297,-0.6928363,0.11914873,0.4158842
-0.1542613,0.046289723,0.8285926,-0.13676345,0.044039574,1.0640837,-0.09076008,0.027471855,1.2825733,-0.14568742,-0.14899656,1.300848,-0.27385944,-0.21432096,1.0667261,-0.078881204,-0.2786749,0.9089426,-0.073895544,0.20991382,1.3129478,-0.0841384,0.29744053,1.0526736,0.13132113,0.16530174,1.1089771,-0.15909378,-0.038458418,0.82814187,-0.0012908727,-0.020968199,0.4376378,-0.006598155,0.0008377023,0.02838263,-0.14942883,0.13103786,0.8290433,-0.28325027,0.12635617,0.4293297,-0.6928363,0.11914873,0.4158842
-0.044607535,0.043540902,0.8027978,-0.03284743,0.043902148,1.0386555,0.018445026,0.024882885,1.2557635,-0.03436236,-0.15234204,1.2729329,-0.1260007,-0.22940817,1.0256038,0.09836832,-0.28108293,0.9071055,0.034291323,0.20706128,1.2881979,-0.0058914013,0.30301946,1.0338638,0.22281642,0.18233591,1.0473466,-0.052567475,-0.040970422,0.8033241,0.11055998,-0.013367947,0.41560182,0.01388327,0.017609647,0.01850304,-0.036647595,0.12805223,0.8022715,-0.096031986,0.14959812,0.3854858,-0.5009117,0.12015098,0.44204283
-0.044607535,0.043540902,0.8027978,-0.03284743,0.043902148,1.0386555,0.018445026,0.024882885,1.2557635,-0.03436236,-0.15234204,1.2729329,-0.1260007,-0.22940817,1.0256038,0.09836832,-0.28108293,0.9071055,0.034291323,0.20706128,1.2881979,-0.0058914013,0.30301946,1.0338638,0.22281642,0.18233591,1.0473466,-0.052567475,-0.040970422,0.8033241,0.11055998,-0.013367947,0.41560182,0.01388327,0.017609647,0.01850304,-0.036647595,0.12805223,0.8022715,-0.096031986,0.14959812,0.3854858,-0.5009117,0.12015098,0.44204283
