pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_x,right_shin_y,right_shin_z,left_shin_x,left_shin_y,left_shin_z,right_foot_x,right_foot_y,right_foot_z,left_foot_x,left_foot_y,left_foot_z
1.9166123,0.016124897,0.8493313,1.9255943,-0.06657742,0.83243626,1.9076302,0.09882721,0.86622655,2.3098521,-0.083452076,0.65991956,1.7969246,0.11221829,0.45969754,2.0053303,-0.036351115,0.38965794,1.6924311,0.12542482,0.06359154
1.9670315,0.013928577,0.851305,1.9751494,-0.069054395,0.8353762,1.9589134,0.09691153,0.86723375,2.3607242,-0.08786488,0.66602623,1.8251234,0.11150536,0.46774888,2.0692592,-0.0567847,0.37953764,1.6986108,0.12589912,0.07815844
2.0182126,0.010365073,0.85712963,2.0248117,-0.07302722,0.8427084,2.0116131,0.09375737,0.871551,2.408229,-0.09158644,0.6685028,1.8582356,0.11034993,0.47924894,2.1324859,-0.07641535,0.36563516,1.7118689,0.12656298,0.09674759
2.0700562,0.0048314715,0.8673294,2.0743344,-0.079104215,0.8554009,2.0657778,0.08876721,0.87925804,2.449553,-0.09231957,0.6637313,1.899111,0.10797513,0.4925357,2.1920733,-0.0937819,0.34483424,1.7341082,0.1266945,0.11781323
2.1211815,0.0006659217,0.87807244,2.1226475,-0.08356017,0.86760294,2.1197155,0.08489201,0.8885421,2.4850416,-0.09274007,0.6524581,1.9489496,0.10368448,0.5035917,2.2492023,-0.10743409,0.31755915,1.7608124,0.122916155,0.13996017
2.1710885,-0.0035209768,0.88835144,2.170507,-0.08796737,0.8797334,2.17167,0.08092537,0.8969696,2.5137188,-0.09304573,0.6350279,2.009818,0.0964576,0.50804335,2.3041515,-0.11504505,0.28347287,1.7873328,0.11645553,0.16439566
2.220878,-0.0062399628,0.8952428,2.2183385,-0.09073714,0.88752425,2.2234175,0.07825721,0.9029613,2.538599,-0.09220982,0.61342204,2.0737627,0.086909115,0.50896955,2.35877,-0.122390516,0.24634707,1.8158681,0.109101616,0.19117837
2.2709606,-0.008593203,0.89830554,2.2673354,-0.09312115,0.8914004,2.274586,0.075934745,0.90521073,2.5605307,-0.09183565,0.58852124,2.1374836,0.07599887,0.5065833,2.4134855,-0.12900345,0.20774627,1.847128,0.102402315,0.2185038
2.3214996,-0.009689012,0.89720714,2.3170958,-0.094226286,0.8908943,2.3259032,0.07484829,0.90352,2.579348,-0.09473579,0.5608573,2.200719,0.06330352,0.5011562,2.469013,-0.13142969,0.16782673,1.881326,0.09504181,0.2462562
2.372388,-0.010427435,0.892243,2.367518,-0.09501014,0.8869659,2.3772576,0.074155234,0.89752036,2.5915558,-0.0991623,0.5299074,2.266156,0.04910074,0.49165142,2.5251741,-0.1296096,0.12659633,1.9200274,0.08547218,0.27516702
2.4251356,-0.011382895,0.88179207,2.419667,-0.09600868,0.87800056,2.4306042,0.07324284,0.8855836,2.6012774,-0.10457368,0.49767792,2.3277771,0.03384336,0.47867423,2.582129,-0.12579341,0.08880572,1.9602952,0.07661778,0.30226374
2.4800043,-0.015282764,0.8645833,2.4736643,-0.09992039,0.86314243,2.4863443,0.06935487,0.8660242,2.6215196,-0.109929904,0.46850395,2.3766992,0.024038937,0.46151787,2.639177,-0.12480956,0.059284963,1.9937783,0.069965,0.32275245
2.530351,-0.023215916,0.8530466,2.522849,-0.10759706,0.8584638,2.5378525,0.0611652,0.8476294,2.647719,-0.11313792,0.45587504,2.432089,0.017362671,0.44192475,2.6461153,-0.12202723,0.046104655,2.0371356,0.060819305,0.3413432
