pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
-1.0668768,-0.015268706,-0.7296819,0.31863186,6.582351,-2.0254116,-2.3237479,-0.98645854,-0.81618404,1.07253,-6.873545,-1.3623813,-0.8979088,6.70551,-1.921281,0.8760272,-13.107044,-3.8584309,-3.1690733,10.050999,-2.6371453
-1.7498703,0.093970045,-0.4437788,0.33691582,4.4386864,-1.2928247,-0.56140625,1.7968944,-0.06867021,0.6359053,-4.574213,-0.95220435,0.10739819,5.5537977,-0.6708328,0.051762935,-12.035279,-0.47638157,-0.63399285,10.075593,-1.5818429
-4.6833243,0.82617855,-2.3031225,1.4788374,2.5091114,-3.3545592,-0.14298786,-1.4588178,1.1999339,1.4160945,4.994047,-3.4082203,0.87784505,5.471257,0.18559602,-3.5098886,0.5033969,-8.825172,1.1003032,13.5970955,-1.4075466
-2.798928,-1.5281953,-0.6364701,0.0830141,4.201966,-1.9738854,0.44385228,-3.031801,2.1792243,0.039268114,2.4793115,-1.9444803,1.41032,4.2272754,1.1359687,0.9216885,-0.029552214,1.2953837,2.0815194,3.974434,1.0972303
-1.1166,-1.2329985,0.060679585,-0.44878602,3.0753314,-0.3411035,-0.9260173,-3.2145562,0.046507172,-0.38579848,4.047297,-0.35982934,-0.01874085,3.2596374,-0.9620349,-3.5704517,2.0328205,5.6733155,1.8852136,0.5991906,-1.2295063
-1.587055,-0.78481406,-0.36884293,0.28826633,4.9983587,-2.171366,-0.13517979,-4.573536,1.8834955,-0.12153104,0.80686486,-2.0787854,0.7868691,3.0943906,0.78341216,-0.84883386,0.20294553,0.03474575,2.6403544,0.25660905,0.8115585
-0.80563813,-0.32929483,0.3317753,0.10202019,3.9486606,-0.4777689,0.25631616,-4.420585,1.5461336,-0.101212546,2.147164,-0.42913654,0.9870165,2.5055869,0.60779434,-2.0829048,0.53327125,1.1563827,0.49120447,-1.8779079,0.9963901
-0.978466,0.21917202,0.46541542,0.34259644,4.889842,-0.4790967,0.7556966,-5.093846,2.4481122,-0.11706833,0.98099005,-0.35871175,1.3017676,2.0113733,1.6360197,-0.24800402,-0.1647043,-0.08001198,-0.1565146,-1.20779,1.9277645
-1.7131876,0.9250123,1.2820053,0.57527703,5.930626,0.15683632,1.0963844,-5.8379245,3.0710058,-0.07069619,0.07156274,0.33708322,1.3809049,1.6608757,2.396443,-0.69232744,0.18276823,-0.047458023,0.110723615,-1.0874814,2.9901657
-0.80907875,0.41902006,-0.57195306,0.33087024,3.5876517,0.44708887,0.8052438,-6.5619173,2.7313573,0.22260965,2.4594412,0.48035797,0.73998016,0.48946285,2.2634387,-0.90544957,-0.5275995,1.2458516,-0.82951784,-2.2344882,2.9362953
