pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
2.9548137,-0.10962367,0.5425135,2.2962358,-0.14764296,0.019360255,3.3280742,-0.23243813,0.31994152,2.7536209,-0.0903024,-1.3384216,2.9116607,-0.28067774,0.7793862,4.0634775,0.012504772,-2.1287508,1.6350907,-0.29735717,1.5044562
2.917633,-0.14790268,0.38382086,2.1827374,-0.013418387,-0.2245031,3.4073527,-0.27514306,0.13013774,2.5924149,-0.06486724,-1.5581179,3.0988255,-0.3021492,0.6732212,4.1079726,-0.24025899,-2.1561792,1.8320804,-0.2323941,1.608341
2.8888452,-0.093851894,0.18639234,2.033208,-0.04925607,-0.44850543,3.4822083,-0.32440493,-0.080347314,2.4661424,-0.007403791,-1.7502028,3.268458,-0.39451706,0.60799724,4.1082096,0.0024955673,-2.221569,2.1353693,-0.28970605,1.7205659
2.9075112,-0.076107085,-0.060000185,1.9796618,-0.05477466,-0.6900933,3.4511683,-0.34095278,-0.2698929,2.405272,-0.0008618508,-1.8577157,3.3188477,-0.413217,0.5045817,4.194635,0.01462507,-2.073413,2.3311796,-0.2623723,1.7000118
2.8913143,0.0053390255,-0.24761431,1.6492091,-0.07933152,-0.9152591,3.633514,-0.38629276,-0.5317315,2.0490797,0.10978743,-2.0591304,3.7638948,-0.5683994,0.41744494,4.1441936,0.24892795,-1.9960918,2.7643518,-0.48068884,1.937386
3.0352724,0.044787567,-0.60510963,1.6806827,-0.15879901,-1.0781043,3.5532982,-0.42813373,-0.8605515,2.0628924,0.13254361,-1.8796352,3.5837471,-0.5499581,0.1939636,4.1462865,0.32092115,-1.4605383,2.783477,-0.4027354,1.7802799
3.0208902,-0.03520588,-0.742602,2.69553,-0.19291754,-0.64802694,3.1311896,-0.3444789,-0.9780104,1.5444509,-0.06825354,-0.70927536,2.912059,-0.29482055,-0.027963951,0.57190454,-0.04945688,-0.85271204,2.3409238,-0.17857629,1.4533048
2.4587133,0.08037615,0.098395035,1.8197742,-0.14144503,0.06773181,3.5702586,-0.14145304,-0.32816643,0.543267,-0.02369421,-0.11896829,4.4140897,-0.25058007,0.3809243,-0.0026032869,0.042339507,0.013203964,4.0440593,-0.53095627,1.700791
2.3102052,0.07918204,0.111778304,1.6369039,-0.075215444,-0.007473238,3.5739436,-0.20455371,-0.074976824,0.5776488,-0.09191385,-0.11350265,4.616411,-0.27782732,0.48291034,0.13209084,0.16305374,-0.007132929,4.438398,-0.12033197,1.4259614
2.2795727,0.08443327,-0.012235925,1.5794605,-0.18495812,-0.03491813,3.5938494,-0.089212015,-0.16414227,0.47201476,-0.14641963,-0.1013778,4.6632943,-0.15818813,0.47468916,0.013559344,0.009681502,0.024630558,4.6012,-0.28812587,1.1548649
2.2409773,0.04794842,-0.09732741,1.5564969,-0.11563811,-0.10865228,3.556938,-0.0796334,-0.11391323,0.4519764,-0.10498044,-0.11757785,4.7085586,-0.08571656,0.45382664,-0.0062540835,-0.043867707,0.017403638,4.7105594,-0.17360145,0.8981716
2.2203913,0.034176838,-0.098356806,1.3738234,-0.10332865,-0.055504538,3.630963,0.028850723,0.022108287,0.2889486,-0.070803605,-0.08592443,4.972534,-0.009691871,0.4914288,0.011139585,-0.032880466,0.013122354,4.980266,-0.33183292,0.70985365
2.2193377,0.014264878,-0.106909156,1.3247994,-0.08647151,-0.11018394,3.6706648,0.14497618,0.2719236,0.2128068,-0.11537035,-0.094856694,5.1201205,0.080892086,0.6030836,-0.02357624,-0.06753085,-0.0035660872,5.16394,-0.30016685,0.42580557
2.260197,-0.092659555,-0.05499183,1.3157076,-0.075545594,-0.07769613,3.7564447,0.36759186,0.5970638,0.17565304,-0.053642448,-0.021367166,5.291504,0.37366152,0.770349,0.009573543,-0.040449284,0.013559133,5.431331,-0.18294798,0.090637885
2.3372304,-0.15365861,-0.21355844,1.3213127,-0.09567279,-0.14674233,3.7592914,0.45724663,0.6857911,0.12733662,-0.025246974,-0.010711712,5.311353,0.59588635,0.84849465,0.01744489,-0.010227985,0.025316682,5.622476,0.050168116,-0.20177399
2.4451537,-0.15768929,-0.37349266,1.3600199,-0.09687386,-0.19569232,3.6877534,0.48058632,0.73946244,0.09478205,-0.05409556,0.057625577,5.20463,0.6837758,0.87713176,-0.007964493,-0.029135512,0.101075634,5.7431593,0.21924749,-0.46617267
